15580,noodlesoupwarriors,NoodleSoupWarriors
11529,puggers,Puggers,PUG
13650,family,FAMILY,FMLY
14510,e-wolves,E-WOLVES
12041,moist-moguls,Moist Moguls,MxM
13291,breakthru-gc,BreakThru GC,BRK.GC
15019,original-gaming,Original Gaming
13870,entropolo,Entropolo
15302,moop-em,moop em
14536,irregulars,Irregulars
4699,skelp-esports,Skelp Esports
9868,alien-anonymo,Alien Anonymo,ANM
8086,maru-gaming,Maru Gaming,MARU
11455,van-lyn,Van Lyn ,VLYN
11001,m80,M80
8573,case-hydra,Case Hydra,Case
14210,ataque-aereo,ATAQUE AEREO,ATA
11909,peito-infinity,Peito Infinity
11689,noot-noot,noot noot,NOOT
13904,mega-fake,MEGa fake,MEG
8877,karmine-corp,Karmine Corp,KC
9314,team-falcons-vega,Team Falcons Vega,FLCV
14615,kaijyu,KaiJyu
6313,kpi-gaming,KPI Gaming,KPI
11976,kaizen,Kaizen
13163,megazord,MEGAZORD
724,e-xolos-lazer,E-Xolos LAZER,EXL
15250,burger-boyz,Burger Boyz
13173,ginger-supremacy,Ginger Supremacy
2131,chivas-esports,Chivas Esports,CHV
12702,the-whole-zoo,The Whole Zoo
5644,panthers-esports,Panthers Esports,PNT
8147,focus-e-sports,Focus e-Sports,FCS
11707,gwangju-shadow,Gwangju Shadow,GJS
13823,gear-5,Gear 5
13796,aros,AROS
12597,dusk,DUSK
10295,team-path,Team Path,PATH
7386,mibr,MIBR
14617,xgodnumberone,XGODNUMBERONE
622,thailand-attitude,Thailand Attitude,THA
12448,al-mooryaat-esports-club,AL MOORYAAT ESPORTS CLUB,ALM
14443,kobass,kobass
14433,baltic-boys,Baltic boys
14807,rage-spell,RAGE SPELL
11675,mvp-esports,MVP Esports,MVPE
11479,apeks,Apeks,APK
2785,tamu-maroon,TAMU Maroon,TAMU
13225,lions,LIONS
13780,the-boys,The Boys
15174,blindoholik,BLINDOHOLIK
14766,o7-esports,o7 Esports
14439,just-push,JUST PUSH
10595,diutu,DiuTu,DT
13262,l2w-esports,L2W Esports
13635,eco-ch-lks,eco chálks
13977,valhalla,Valhalla,VAL
14767,consolidate-gaming,Consolidate Gaming
11518,mekong-gaming,Mekong Gaming,MKG
1594,team-majesty,Team Majesty,MJY
14935,joseo-insano,Joseo Insano
12044,jenerators,Jenerators,JNR
5091,rizon,RIZON,RZN
14512,azure,Azure
14688,xu-gang,Xu Gang,XG
12650,noite-paulista,NOITE PAULISTA
13354,major-issue,Major Issue
13872,ghost-riders,Ghost Riders
12478,coalesce,Coalesce,CLS
8829,comet-esports-club,Comet Esports Club
15486,sos-affenalarm,SOS Affenalarm
14369,flame-hard,Flame Hard,FH
11293,dominatus,Dominatus,DOM
