map_id,t1,t2,winner,date,map,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff
95036,624,2359,False,2022-09-01,1,0.08705289672544081,0.059269521410579284,0.02103145951521407,0.04477380861511847,0.03478421494542401,-0.02427371956339206,0.03157429709153844
69394,1034,12836,True,2022-02-01,4,0.5925925925925926,0.5580246913580247,0.7684476534296031,0.7441077441077442,0.5106172839506173,0.6370370370370371,0.3414376321353066
69395,1034,12836,True,2022-02-01,1,0.6373333333333333,0.5093333333333333,0.797364620938628,0.7731717171717172,0.5781333333333334,0.6394666666666666,0.3534258346601966
45517,188,470,True,2021-07-23,0,0.19809523809523816,0.10124542124542124,0.12615322904131585,0.14683982683982688,0.10526007326007321,-0.14616849816849822,0.10386640798226165
45518,188,470,True,2021-07-23,5,0.0456590193432298,0.12168241115609535,0.03592057761732848,0.030524543682438503,0.019253261358524475,-0.01826360773729201,0.022388359056128824
151208,278,5448,False,2023-12-02,2,0.11021353228711084,0.1259068690506817,0.08953068592057765,0.09067599067599072,0.17928479547208642,-0.11586313352199636,0.12038493845163326
53295,637,188,False,2021-10-28,0,-0.004102564102564044,-0.008846153846153837,-0.03641696750902539,-0.02818181818181819,-0.04738461538461536,-0.016000000000000014,-0.00468302189613666
53296,637,188,True,2021-10-28,4,-0.17343336275375104,0.017156862745098034,-0.10689530685920583,-0.14164259541576404,-0.2349514563106796,0.08049426301853488,-0.08619738345421048
55526,637,188,True,2021-10-28,2,-0.5152027027027027,-0.022522522522522515,-0.2977135980746089,-0.37630528255528256,-0.24054054054054053,0.37860360360360357,-0.26175360389861896
168995,11058,2359,False,2024-05-11,1,-0.06272058082081272,-0.02247543499938376,-0.05184115523465699,-0.06224474586882576,0.06973883230815767,0.04753453665423004,-0.04710869541795771
168996,11058,2359,True,2024-05-11,2,-0.09802646853958669,-0.050614639597690414,-0.05461692739671081,-0.04246258733140555,-0.07364755049918736,0.08412351985140472,-0.05655767026013383
168997,11058,2359,False,2024-05-11,5,0.05152393968687852,-0.0007575082434720937,0.007755399328646536,0.02472270961220591,-0.030085447292687473,-0.008226940898029866,0.014974731628388851
168998,11058,2359,True,2024-05-11,6,0.04612487051511449,-0.09959506544872399,-0.005338023388565001,0.0004711394955297831,0.00865618231471883,0.012117901873999415,-0.005381072214727282
168999,11058,2359,True,2024-05-11,0,0.005195532085756682,-0.0006083761224539019,-0.012325334465916304,-0.0038513895679349566,0.0689533497189303,0.01091548438906873,-0.006097127234458907
130717,731,12064,True,2023-05-16,7,0.032979749276759895,0.05020893603342974,0.03219013237063775,0.015182685095896252,0.15639987142397943,-0.023735133397621323,0.015095182595182612
130718,731,12064,True,2023-05-16,0,-0.04273664479850042,-0.11124648547328964,-0.03334937825912556,-0.02354590894890805,0.07499531396438615,-0.007656982193064632,-0.006526485647251442
65193,6387,7985,False,2022-02-24,5,0.38461538461538464,0.48717948717948717,0.7216606498194946,0.6666666666666667,0.5128205128205129,0.6974358974358974,0.27941176470588236
65194,6387,7985,False,2022-02-24,1,0.6156156156156156,0.5405405405405406,0.801783818220429,0.7748657748657749,0.621021021021021,0.6246246246246245,0.3626165501165501
69876,4388,14,False,2022-02-05,5,-0.4620956873315364,-0.12045148247978432,-0.24707581227436823,-0.3004318794413134,-0.21819407008086253,0.3026954177897574,-0.22402119875044058
69877,4388,14,True,2022-02-05,4,-0.1570909630068945,-0.05033731188375723,-0.08736462093862822,-0.08314518900922642,-0.1348950997108755,0.14318333456890803,-0.0910488077496274
69878,4388,14,True,2022-02-05,1,0.22799295774647887,-0.007922535211267623,0.0852466907340555,0.14356594110115234,-0.19788732394366199,-0.0957746478873239,0.13484953630685761
164324,12685,1120,False,2024-05-05,9,-0.5757575757575758,-0.5,-0.7520917392227648,-0.7389348025711663,-0.5212121212121212,-0.6593939393939394,-0.32756795900178254
164325,12685,1120,False,2024-05-05,2,-0.15592053206732098,-0.27422222222222226,-0.07718411552346559,-0.10521394091035459,0.06795406428433948,0.09113149847094801,-0.07900520127022437
84038,120,2291,False,2022-06-11,2,-0.08931043322225074,0.01807228915662651,-0.03072202166064999,-0.04648807997949246,-0.019143809279671853,0.04350166623942577,-0.04382160877756006
84039,120,2291,False,2022-06-11,5,0.16680194805194798,0.0267857142857143,0.06956678700361005,0.07734098288075565,0.09504870129870131,-0.0974837662337662,0.07201564237492382
72659,1224,1120,True,2022-03-07,3,-0.2508937276568085,-0.1697377746279235,-0.17879061371841157,-0.1663072059562147,-0.05576860578485539,0.18765030874228145,-0.21657007678077367
72660,1224,1120,True,2022-03-07,1,0.021960240406842413,0.004392048081368505,0.0038628158844765097,0.01834923436865191,0.07434119278779479,-0.06564956079519187,0.048064830851716075
88164,1110,918,True,2022-06-15,1,-0.13185550082101805,0.03783251231527096,-0.06824308062575211,-0.08196397472259544,-0.0425090311986863,0.12690968801313626,-0.08917112634931065
88165,1110,918,True,2022-06-15,3,-0.1315765697937058,-0.014817045625658887,-0.05611867073960958,-0.07267799208771962,-0.12050594789941274,0.08281282939316367,-0.07062095773708059
50578,6387,623,True,2021-10-02,1,-0.4583333333333333,-0.5833333333333334,-0.6967509025270758,-0.6893939393939394,-0.36666666666666664,-0.7083333333333333,-0.28449197860962566
50579,6387,623,False,2021-10-02,0,-0.3389830508474576,-0.3728813559322034,-0.6945848375451263,-0.6443246019517207,-0.5220338983050847,-0.7661016949152543,-0.24584338964869937
50580,6387,623,True,2021-10-02,8,-0.5952380952380952,-0.5714285714285714,-0.8144404332129964,-0.7691197691197691,-0.5714285714285714,-0.6571428571428571,-0.3421168203776899
147275,11058,10725,False,2023-11-01,2,-0.0406894268961604,0.020427463589937578,-0.01654632972322486,-0.010535537902191921,0.012228106676754358,0.02952209822835883,-0.01488541100905083
147276,11058,10725,True,2023-11-01,1,-0.09395341541839858,-0.03552662536271667,-0.02676293622141985,-0.03525094882635464,0.05017645674849032,0.06641832013175435,-0.03625681383924468
147277,11058,10725,False,2023-11-01,0,-0.0619563287768507,0.04633410260962184,-0.029963898916967654,-0.015682746154963408,-0.15295579620095862,0.08215870761583526,-0.04435343160833355
119614,8185,278,True,2023-05-08,3,0.047248322147650956,-0.04671140939597318,0.011070998796630654,0.018044539353264222,0.08845637583892615,0.026281879194630875,-0.005747691876218576
119615,8185,278,True,2023-05-08,0,0.10486026181093444,-0.01236581057208852,0.047292418772563155,0.0690379813902032,-0.0059065996285727175,-0.05338134710332021,0.052162580782623466
24743,1034,3530,True,2021-04-15,0,0.5652173913043478,0.391304347826087,0.752346570397112,0.7108036890645587,0.3826086956521739,0.6608695652173913,0.3143939393939394
24744,1034,3530,True,2021-04-15,4,0.5967741935483871,0.5967741935483871,0.7614921780986762,0.7243401759530792,0.5935483870967742,0.632258064516129,0.3348794063079777
99670,7883,1001,False,2022-10-08,4,-0.5609756097560976,-0.5170731707317073,-0.7494584837545126,-0.7220620842572063,-0.4917073170731707,-0.6453658536585366,-0.32704596990311274
157896,12685,12064,True,2024-02-26,8,-0.4969512195121951,-0.486013986013986,-0.7172382671480145,-0.6695768662232078,-0.5987804878048781,-0.6987804878048781,-0.2800914908244751
157897,12685,12064,True,2024-02-26,6,0.03244443571049582,-0.03759398496240601,0.03415506274712065,0.03283537916155278,0.007593294947629126,-0.06302985045296436,0.03607634418082739
157911,14137,13576,False,2024-02-26,1,0.5051546391752577,0.5,0.7407942238267148,0.7168072477350829,0.5443298969072166,0.7051546391752577,0.29713804713804715
157912,14137,13576,True,2024-02-26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157913,14137,13576,True,2024-02-26,6,0.5909090909090909,0.4444444444444444,0.7270758122743682,0.7222222222222222,0.5393939393939393,0.6363636363636364,0.3317460317460317
65213,6387,6942,True,2022-02-25,5,0.4032258064516129,0.4032258064516129,0.7051744885679904,0.6385630498533724,0.4838709677419355,0.7258064516129032,0.25717171717171716
57640,4837,5248,False,2021-11-15,0,-0.5817307692307693,-0.5721153846153846,-0.7787725631768954,-0.741003787878788,-0.49711538461538457,-0.6548076923076923,-0.33078583188715344
