match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
183796,7386,2,0,4,5,8,3,7,6,0,2,,-3.0,-5.0,2023-04-23
167348,7035,1034,0,3,8,6,5,4,7,0,2,,-2.0,-1.0,2023-02-13
167349,278,2304,8,6,3,0,4,5,7,0,2,,-2.0,2.0,2023-02-13
184493,624,17,7,1,4,3,0,8,6,2,0,,4.0,-1.0,2023-05-12
184456,5448,8185,6,8,3,5,0,7,4,0,2,-2.0,-1.0,3.0,2023-03-25
212534,6675,11058,6,3,7,8,0,1,4,2,0,1.0,3.0,-5.0,2023-06-07
183787,2359,2,3,6,4,5,0,8,7,2,1,,3.0,-6.0,2023-04-16
248270,2593,6961,3,1,7,4,0,6,8,0,2,1.0,10.0,-2.0,2023-08-16
184479,14,878,8,0,6,5,3,4,7,2,0,,-3.0,-1.0,2023-04-23
297406,4915,397,8,5,6,9,1,0,2,2,1,1.0,1.0,6.0,2024-02-21
248273,5248,1120,3,6,4,1,8,0,7,2,1,,1.0,6.0,2023-08-17
183780,2359,2406,3,4,6,8,7,5,0,1,2,,6.0,-1.0,2023-04-08
248281,6961,1120,6,7,3,8,1,0,4,2,1,-2.0,3.0,1.0,2023-08-20
184471,6199,17,7,8,5,0,3,4,6,0,2,,1.0,-2.0,2023-04-10
318911,8877,14419,0,5,6,8,9,2,1,2,0,-3.0,3.0,4.0,2024-04-03
184049,7035,397,3,6,4,8,0,7,1,1,2,,-5.0,-2.0,2023-05-04
286658,2,474,6,0,1,2,8,4,9,2,1,-1.0,7.0,-1.0,2023-12-09
184490,878,918,6,8,4,0,3,7,1,2,0,1.0,0.0,0.0,2023-05-07
184056,7035,1001,7,4,1,8,6,3,0,2,1,-2.0,-8.0,-4.0,2023-05-12
232729,7386,2355,3,4,8,7,1,6,0,0,2,1.0,-7.0,-8.0,2023-07-15
185985,12041,11058,7,3,5,0,8,6,4,0,2,,2.0,3.0,2023-03-29
286647,4330,474,2,4,1,9,8,6,0,0,2,,-3.0,-6.0,2023-12-06
220299,1837,1184,7,8,3,1,0,4,6,1,2,,-3.0,-3.0,2023-06-13
184489,5448,624,7,1,4,3,0,8,6,0,2,2.0,3.0,1.0,2023-05-06
