,match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date,t1_elo,t2_elo,elo_diff
1464,70070,637,2,False,8,2,5,0,3,4,1,1,2,-3.0,-3,-1,0.2307692307692308,0.2307692307692308,0.2307692307692308,2022-03-04,1485.4990104614365,1502.0734792966134,-16.57446883517696
1183,72632,1120,908,True,3,2,8,0,1,4,5,2,0,-1.0,8,2,,0.0,1.0,2022-03-05,1572.3252908990212,1516.0,56.325290899021184
357,70295,2406,3512,False,8,0,1,4,5,2,3,0,2,5.0,4,-8,0.716657034611186,0.7206703910614525,0.7126436781609196,2022-03-05,1468.0,1500.0,-32.0
90,69007,397,4567,True,3,0,1,2,5,8,4,2,0,-2.0,1,2,0.4784688995215311,0.4784688995215311,0.4784688995215311,2022-03-05,1470.131478678827,1500.0,-29.86852132117292
756,70073,1034,1615,False,3,5,0,8,1,2,4,1,2,3.0,-5,-1,0.5098039215686274,0.5098039215686274,0.5098039215686274,2022-03-05,1495.098918841646,1470.3332511762162,24.765667665429874
1117,70072,642,188,False,3,2,0,8,4,1,5,0,2,1.0,-3,7,0.1304347826086955,0.1304347826086955,0.1304347826086955,2022-03-05,1517.192860231772,1535.190181174339,-17.99732094256683
266,70294,1916,4894,False,1,8,4,3,2,5,0,1,2,-2.0,1,-5,0.465195246179966,0.736842105263158,0.1935483870967741,2022-03-05,1500.0,1454.1398204791876,45.86017952081238
767,70074,120,533,False,0,4,1,5,2,3,8,1,2,4.0,3,3,0.2700729927007299,0.2700729927007299,0.2700729927007299,2022-03-06,1455.616638807945,1502.492692051278,-46.87605324333299
70,72636,908,6094,False,4,8,3,1,5,0,2,0,2,2.0,-2,0,,0.0,1.0,2022-03-06,1502.5713878103156,1497.835047507774,4.736340302541521
1116,69008,6460,474,False,3,5,1,2,8,4,0,0,2,,6,0,0.1591294516676087,0.180327868852459,0.1379310344827585,2022-03-06,1484.1600777472354,1532.1625306193193,-48.00245287208395
1086,70075,8127,2815,False,2,3,1,8,4,0,5,1,2,,2,4,0.5614035087719298,0.5614035087719298,0.5614035087719298,2022-03-06,1533.3666725144399,1516.5355886901075,16.83108382433238
355,71632,8182,8185,True,8,0,4,2,1,5,3,2,0,,6,10,,0.0,1.0,2022-03-06,1559.0102238319519,1559.0102238319519,0.0
1263,72637,5443,6094,False,2,1,0,4,8,5,3,1,2,2.0,1,1,,0.0,1.0,2022-03-07,1517.3624721359606,1514.0531505287681,3.309321607192487
102,70020,4696,1184,True,0,4,8,5,2,3,1,2,0,,6,5,0.4975124378109453,0.4975124378109453,0.4975124378109453,2022-03-07,1500.0,1545.8278203282016,-45.8278203282016
1284,72633,1224,1120,True,8,2,5,0,1,3,4,2,0,0.0,8,8,,0.0,1.0,2022-03-07,1517.4664793350541,1585.7539030887056,-68.28742375365141
450,71635,8075,8185,False,5,1,3,4,8,0,2,0,2,,-5,6,0.0909090909090909,0.0909090909090909,0.0909090909090909,2022-03-10,1484.736306793522,1543.0102238319519,-58.27391703842977
605,76102,918,3107,False,2,0,3,8,5,4,1,0,2,,4,0,0.801388505384403,0.801980198019802,0.8007968127490039,2022-03-11,1556.720713084211,1500.0,56.720713084210956
