id,linkname,fullname,abbrev,secondary_id
15052,justus,JustUs,JST
13977,valhalla,Valhalla,VAL
15176,1st-megasaver,1st MegaSaver,1MS
15065,carti-esports,Carti Esports,CE
15054,thebais,TheBAIS,BAIS
15058,old-stinky-cat,OLD STINKY CAT,MEOW
14711,geek-fam,Geek Fam,GEEK
10356,aim-ph,AIM PH,AIM
3136,oasis-gaming,Oasis Gaming,OAS
7031,naos,NAOS,NAOS
8375,zol-esports,ZOL Esports,ZOL
14148,valee-thai-esports,Valee Thai Esports,VLTH
14616,barn-nong-chok,Barn nong chok,BNC
6665,team-nkt,Team NKT,NKT
7397,xerxia-esports,XERXIA Esports,XIA
4210,made-in-thailand,Made in Thailand,MITH
623,sharper-esport,Sharper Esport,SPE
497,attack-all-around,Attack All Around,AAA
4050,full-sense,FULL SENSE,FS
14773,disguised,Disguised,DSG
14799,please-dont-fire,Please Don't Fire,PDF
10294,nexga,NEXGA,NXGA
14805,orgless,ORGLESS,LESS
14811,ender,ENDER,END
14809,ninjas-in-galaxy,Ninjas in Galaxy,NG
8741,blitz-esports,Blitz Esports,BZE
3351,laze,LaZe,LZE
14754,the-hero,THE HERO,THE
14740,5-clown,5 Clown,CLWN
14752,mabuhay,MABUHAY,MBH
8925,arf-team,ARF TEAM,ARF
466,boom-esports,BOOM Esports,BME
1110,alter-ego,Alter Ego,AE
